"Filename","Time","Frequency"
"P7132037_05",1732354,NA
"P7132037_05",1733787,NA
"P7132037_05",1765538,NA
"P7132037_05",1788842,NA
"P7132037_05",1795937,NA
"P7132037_05",1796050,NA
"P7132037_05",1796163,35398
"P7132037_05",1796240,42105
"P7132037_05",1796316,52287
"P7132037_05",1796393,52287
"P7132037_05",1796469,52287
"P7132037_05",1796547,51948
"P7132037_05",1796626,50955
"P7132037_05",1796704,50955
"P7132037_05",1796784,50632
"P7132037_05",1796862,50632
"P7132037_05",1796942,50632
"P7132037_05",1797023,49689
"P7132037_05",1797104,49382
"P7132037_05",1797186,49079
"P7132037_05",1797266,49382
"P7132037_05",1797347,49689
"P7132037_05",1797430,48780
"P7132037_05",1797511,48780
"P7132037_05",1797595,48484
"P7132037_05",1797677,48192
"P7132037_05",1797760,48484
"P7132037_05",1797842,48484
"P7132037_05",1797926,48192
"P7132037_05",1798009,47904
"P7132037_05",1798093,47904
"P7132037_05",1798178,47337
"P7132037_05",1798261,47619
"P7132037_05",1798345,47904
"P7132037_05",1798428,47904
"P7132037_05",1798514,47337
"P7132037_05",1798600,46511
"P7132037_05",1798681,47904
"P7132037_05",1798765,48484
"P7132037_05",1798854,46242
"P7132037_05",1798933,47619
"P7132037_05",1799041,42780
"P7132037_05",1799151,36697
"P7132037_05",1799232,41884
"P7132037_05",1799322,46783
"P7132037_05",1799403,46783
"P7132037_05",1799517,41025
"P7132037_05",1799596,41450
"P7132037_05",1799678,49689
"P7132037_05",1799752,51282
"P7132037_05",1799832,51948
"P7132037_05",1799915,49079
"P7132037_05",1799992,50000
"P7132037_05",1800071,51282
"P7132037_05",1800153,49689
"P7132037_05",1800237,48192
"P7132037_05",1800373,36363
"P7132037_05",1800458,36199
"P7132037_05",1800542,47337
"P7132037_05",1800626,47619
"P7132037_05",1800766,35714
"P7132037_05",1800850,35714
"P7132037_05",1800934,47619
"P7132037_05",1801018,47619
"P7132037_05",1801102,47619
"P7132037_05",1801183,48484
"P7132037_05",1801265,49079
"P7132037_05",1801350,47904
"P7132037_05",1801436,46783
"P7132037_05",1801521,46783
"P7132037_05",1801607,46783
"P7132037_05",1801814,27303
"P7132037_05",1801899,27397
"P7132037_05",1801984,47058
"P7132037_05",1802070,46783
"P7132037_05",1802155,46783
"P7132037_05",1802241,46783
"P7132037_05",1802326,46783
"P7132037_05",1802409,47619
"P7132037_05",1802492,48192
"P7132037_05",1802578,47337
"P7132037_05",1802664,46511
"P7132037_05",1802751,46242
"P7132037_05",1802838,45977
"P7132037_05",1802925,45977
"P7132037_05",1803012,45977
"P7132037_05",1803099,45977
"P7132037_05",1803186,45977
"P7132037_05",1803312,37558
"P7132037_05",1803397,37914
"P7132037_05",1803484,46511
"P7132037_05",1803571,45977
"P7132037_05",1803660,45454
"P7132037_05",1803745,45977
"P7132037_05",1803833,46242
"P7132037_05",1803919,45977
"P7132037_05",1804005,46511
"P7132037_05",1804091,46511
"P7132037_05",1804180,45714
"P7132037_05",1804265,45977
"P7132037_05",1804353,46242
"P7132037_05",1804439,45977
"P7132037_05",1804526,46242
"P7132037_05",1804614,45714
"P7132037_05",1804701,45714
"P7132037_05",1804788,45977
"P7132037_05",1804878,45197
"P7132037_05",1804965,45197
"P7132037_05",1805052,45977
"P7132037_05",1805142,45197
"P7132037_05",1805230,44943
"P7132037_05",1805317,45714
"P7132037_05",1805404,45977
"P7132037_05",1805493,45454
"P7132037_05",1805579,45714
"P7132037_05",1805668,45714
"P7132037_05",1805756,45197
"P7132037_05",1805843,45714
"P7132037_05",1805931,45714
"P7132037_05",1806020,45197
"P7132037_05",1806108,45197
"P7132037_05",1806197,45197
"P7132037_05",1806285,45197
"P7132037_05",1806372,45714
"P7132037_05",1806461,45454
"P7132037_05",1806547,45714
"P7132037_05",1806637,45454
"P7132037_05",1806725,44943
"P7132037_05",1806814,45197
"P7132037_05",1806902,45197
"P7132037_05",1808007,6705
"P7132037_05",1810082,NA
"P7132037_05",1810745,NA
"P7132037_05",1882935,NA
"P7132037_05",1883142,NA
"P7132037_05",1883297,22099
"P7132037_05",1883414,29411
"P7132037_05",1883510,37558
"P7132037_05",1883607,41450
"P7132037_05",1883687,45197
"P7132037_05",1883807,40000
"P7132037_05",1883888,39800
"P7132037_05",1883989,43956
"P7132037_05",1884070,43956
"P7132037_05",1884151,49382
"P7132037_05",1884234,48780
"P7132037_05",1884316,48484
"P7132037_05",1884399,48484
"P7132037_05",1884480,48780
"P7132037_05",1884564,48484
"P7132037_05",1884647,47904
"P7132037_05",1884730,48192
"P7132037_05",1884815,47619
"P7132037_05",1884899,47337
"P7132037_05",1884984,47337
"P7132037_05",1885068,47337
"P7132037_05",1885152,47619
"P7132037_05",1885237,47337
"P7132037_05",1885323,46783
"P7132037_05",1885409,46511
"P7132037_05",1885493,47058
"P7132037_05",1885580,46783
"P7132037_05",1885712,36529
"P7132037_05",1885818,33613
"P7132037_05",1885901,42328
"P7132037_05",1886007,42328
"P7132037_05",1886097,40816
"P7132037_05",1886182,45714
"P7132037_05",1886269,46511
"P7132037_05",1886382,40000
"P7132037_05",1886463,41237
"P7132037_05",1886577,41025
"P7132037_05",1886660,40609
"P7132037_05",1886775,40404
"P7132037_05",1886859,40201
"P7132037_05",1887018,32921
"P7132037_05",1887100,33195
"P7132037_05",1887184,48192
"P7132037_05",1887345,32653
"P7132037_05",1887428,32786
"P7132037_05",1887514,47337
"P7132037_05",1887677,32128
"P7132037_05",1887760,32520
"P7132037_05",1887846,47337
"P7132037_05",1887932,46511
"P7132037_05",1888054,38461
"P7132037_05",1888138,38834
"P7132037_05",1888224,47058
"P7132037_05",1888311,46242
"P7132037_05",1888399,45714
"P7132037_05",1888609,26845
"P7132037_05",1888692,27303
"P7132037_05",1888780,46783
"P7132037_05",1888866,45977
"P7132037_05",1888954,45977
"P7132037_05",1889045,44692
"P7132037_05",1889365,19464
"P7132037_05",1889474,18648
"P7132037_05",1889560,41025
"P7132037_05",1889647,46242
"P7132037_05",1889734,45977
"P7132037_05",1889821,45977
"P7132037_05",1889909,45714
"P7132037_05",1889996,45714
"P7132037_05",1890084,45714
"P7132037_05",1890172,45454
"P7132037_05",1890256,46511
"P7132037_05",1890344,46511
"P7132037_05",1890432,45454
"P7132037_05",1890522,44943
"P7132037_05",1890610,44943
"P7132037_05",1890698,45454
"P7132037_05",1890830,36363
"P7132037_05",1890920,36036
"P7132037_05",1891006,45454
"P7132037_05",1891119,40201
"P7132037_05",1891228,36036
"P7132037_05",1891497,21164
"P7132037_05",1891806,13840
"P7132037_05",1892031,14981
"P7132037_05",1892163,22408
"P7132037_05",1892342,25723
"P7132037_05",1892474,25723
"P7132037_05",1892765,18912
"P7132037_05",1892946,16949
"P7132037_05",1893057,27397
"P7132037_05",1893258,25641
"P7132037_05",1893393,23809
"P7132037_05",1893531,29304
"P7132037_05",1893664,29520
"P7132037_05",1893775,32786
"P7132037_05",1893952,27777
"P7132037_05",1894446,11922
"P7132037_05",1894977,7804
"P7132037_05",1973452,NA
"P7132037_05",1973575,NA
"P7132037_05",1973816,21978
"P7132037_05",1973964,20565
"P7132037_05",1974039,35874
"P7132037_05",1974136,46511
"P7132037_05",1974212,46242
"P7132037_05",1974293,50955
"P7132037_05",1974368,51282
"P7132037_05",1974445,52631
"P7132037_05",1974543,45714
"P7132037_05",1974625,44444
"P7132037_05",1974703,50000
"P7132037_05",1974783,50632
"P7132037_05",1974864,49689
"P7132037_05",1974945,49382
"P7132037_05",1975028,48780
"P7132037_05",1975108,49079
"P7132037_05",1975190,49382
"P7132037_05",1975273,48484
"P7132037_05",1975354,48780
"P7132037_05",1975438,48484
"P7132037_05",1975520,48192
"P7132037_05",1975604,48192
"P7132037_05",1975688,47619
"P7132037_05",1975772,47619
"P7132037_05",1975856,47619
"P7132037_05",1975941,47337
"P7132037_05",1976024,47619
"P7132037_05",1976112,46783
"P7132037_05",1976194,47058
"P7132037_05",1976279,47904
"P7132037_05",1976364,47058
"P7132037_05",1976449,47058
"P7132037_05",1976556,41666
"P7132037_05",1976643,41237
"P7132037_05",1976750,41237
"P7132037_05",1976839,40816
"P7132037_05",1976921,46783
"P7132037_05",1977031,41666
"P7132037_05",1977125,39215
"P7132037_05",1977203,46511
"P7132037_05",1977296,46783
"P7132037_05",1977378,45714
"P7132037_05",1977458,49382
